data_type,s_rank,num_data_points,nelder_mead,powell,sgd,adam,rmsprop,bfgs,slsqp,dual_annealing,cobyla,genetic_algorithm,particle_swarm,diff_evolution
random,1,1,0.04230604255679814,0.04230607511573639,0.1855451400575498,0.042651473718353934,0.04237128573186359,0.042306042685249234,0.04230759816025684,0.042306042665383486,0.04231259089206868,0.043546432381090766,0.049797359725312504,0.042306124547689734
random,1,2,0.1866280211650069,0.18422837539025932,0.36707261888419535,0.19466452918960336,0.18397576790865927,0.1835497219306105,0.1858694334990025,0.1531292049902409,0.18428388821829195,0.1701671299093622,0.1705954246288079,0.15584423839993627
random,1,3,0.23387477249689165,0.24904348975886656,0.4712426093812999,0.25616854563705177,0.253300874966281,0.23238094886162522,0.24124456348625997,0.20464303983691035,0.23984481794208984,0.22459314734680422,0.21900400658379163,0.2020660661334947
random,1,4,0.2900584525591599,0.2907859767469151,0.4943078326791325,0.300991880956414,0.28592975519217756,0.3004678011519679,0.2958405187503724,0.2751507047159437,0.29067594684311293,0.2953608148490557,0.29271399563472855,0.27708429049090716
random,2,1,0.14332140470481433,0.14331380394526508,0.36708477685873414,0.1443782117385381,0.14417673127666303,0.14327358448966804,0.14335484415692493,0.14330574931895107,0.1444688084532923,0.15265085834325293,0.1627474449713529,0.14349399633083465
random,2,2,0.2802280313437008,0.2881519555009842,0.5287233217558923,0.2739335666024168,0.2715815951006397,0.2778753031381215,0.27623938497339473,0.2705439722802975,0.27347060219666103,0.28387600559860776,0.28949102938730037,0.2729895941952215
random,2,3,0.31295903564078253,0.32461947773577354,0.5805669747577078,0.31413858667368083,0.29646131668573117,0.29368286365075924,0.29618582483475425,0.2864418038090456,0.3122088226571378,0.2927036454773006,0.3009667612608095,0.28658535076770575
random,2,4,0.35792583128894734,0.34232933248577085,0.6128284682614317,0.3599343912530784,0.35996929103663355,0.3607480099354213,0.36074995650390546,0.3330802204646092,0.3558888484547314,0.34505621126343816,0.34638764341847333,0.3308566503652285
random,3,1,0.2586975536194852,0.25961480584682245,0.5933428639729446,0.2588829692736507,0.2587488050868685,0.25869755382643844,0.2735403122706292,0.25869755380080817,0.25908672795144116,0.26337072584349075,0.27573791142177584,0.258761889917945
random,3,2,0.37207135804535313,0.3766968364118141,0.6253293781397444,0.375957308627251,0.3720938802109423,0.372060187637079,0.3758236221310824,0.36870760269793335,0.3741141455746244,0.37640294941433095,0.3813061030244749,0.3686928680271757
random,3,3,0.39506942847089516,0.4130128958236039,0.699034612712959,0.4067268693279688,0.4059328960691003,0.4076858847359392,0.4076901032689474,0.38322776927160235,0.40490873934658006,0.3984541504938367,0.39633876740589324,0.38339622702302645
random,3,4,0.3868525346445869,0.40551236689890224,0.6797698728419629,0.39816844104409305,0.39053722760409526,0.38785536111414654,0.3893778393760439,0.373790313242231,0.3896843633627107,0.39659256364760737,0.389113309825854,0.37712867883643253
random,4,1,0.3272847400107236,0.3274648895936908,0.6513893916408199,0.32728774044046466,0.32732813182633674,0.327284740103468,0.3272906667316435,0.3267501256892141,0.3283031733986183,0.3348122627525541,0.3423746418084469,0.3268695193434274
random,4,2,0.4304165499601247,0.42000558779214614,0.7026524293894385,0.41905317665335495,0.4190845812194281,0.43358859759911794,0.4292558921019435,0.402296525048787,0.4240288399325142,0.4185719431897382,0.41759534976224433,0.40312365750672485
random,4,3,0.4378462929093175,0.45384862973087514,0.7287706419825788,0.45161160525638133,0.4460801451518538,0.45916461542055276,0.4591662018433172,0.3991989474369574,0.43891973284550756,0.4184389212513209,0.4133375104808337,0.4000807011170405
random,4,4,0.46245389840197504,0.44154712158896237,0.7229453468548612,0.46828285718403206,0.47664585000360243,0.46828278496523906,0.47662025735075114,0.4168345789052738,0.45720280598840224,0.4385744025713638,0.42979209805952057,0.41686588866129287
orthogonal,1,1,0.04324985828588114,0.043249881295944335,0.19069698736263443,0.043256103773827,0.043314741047992975,0.04324985838205707,0.0432585714727642,0.04324985841593933,0.04324985843954282,0.04442497825924125,0.05104127492409986,0.04324985968752763
orthogonal,1,2,0.13739635900190617,0.15092627640341977,0.3268200212173304,0.13965097798047382,0.13635232828816699,0.13778338163915524,0.13803753087710408,0.12252065534100347,0.15644585369240946,0.14970482100854182,0.14139128368241943,0.12633565462817833
orthogonal,1,3,0.23189677991630492,0.24014463966970476,0.45975309380362833,0.24179469140289972,0.23833853108354597,0.2294767099539788,0.24514182410560442,0.18185069567296408,0.23539239530551997,0.20766528296119913,0.19926640962037628,0.1819100937328992
orthogonal,1,4,0.23000476937576111,0.2726296552223127,0.45089503644670703,0.22472179294430544,0.24045143531275018,0.24077853158942233,0.2453679005767598,0.1910014790827502,0.25708613169069433,0.22316996888398705,0.2166265338033702,0.19400129447738948
orthogonal,2,1,0.1566202827654272,0.1566215199370647,0.34323568107269964,0.16167319449211753,0.15669190467388228,0.15662028312287085,0.15715709663004526,0.15667403308498976,0.15683241206409138,0.16173403155032257,0.17582729803272443,0.15662693225333454
orthogonal,2,2,0.25845830447620466,0.25261843914821924,0.5235771718760515,0.2718845000243809,0.2846691814090377,0.27493177266251273,0.27434291525595855,0.24234035173938445,0.2626405316616801,0.2582387685440326,0.26173830529068715,0.24597004847771814
orthogonal,2,3,0.30088995266555907,0.31368859897841245,0.5885534970154472,0.3001868858281861,0.3001839206698011,0.31071812389361264,0.31071988367726866,0.2813116727916626,0.31734703866716163,0.3070419652873676,0.3016607235718861,0.2833608372570837
orthogonal,2,4,0.336512196502088,0.33641109430480254,0.5178142566970974,0.34120637320662295,0.33356763671790884,0.33350341631537717,0.324312873157868,0.29864414875200845,0.35201270751134184,0.3222356761417632,0.31764450970995145,0.29921411403031967
orthogonal,3,1,0.29173668117743634,0.29663573542027366,0.518783578808422,0.29179292274100543,0.2918165942437296,0.29173668147222503,0.29175299408998606,0.2917368746359466,0.2918043251665402,0.29662705380378734,0.3087461429429573,0.2917384350750263
orthogonal,3,2,0.34242516014609253,0.3526808222926346,0.5932549960301134,0.3507688661984318,0.3508049166067286,0.35076826292129126,0.3500490175046208,0.3271912559233757,0.3434712168839016,0.34465999786467405,0.34284345142112144,0.3282935979742846
orthogonal,3,3,0.41509246693507224,0.416307832294598,0.6528117670252694,0.4076576454048132,0.40703443434216763,0.41630737168736714,0.4166046973864713,0.38410305278301743,0.4108905929378131,0.40463646203150605,0.4008824444246377,0.3851413459131643
orthogonal,3,4,0.4360355256632224,0.420539764240622,0.698649828012079,0.4407546800183854,0.4457644443199157,0.44682935120657935,0.4471065235929249,0.38497647602255547,0.42736346391451996,0.4072738496298113,0.4009321847517285,0.38762432095748445
orthogonal,4,1,0.3622742072531252,0.35238598498297263,0.6096747670548119,0.3489504739413239,0.34778268206138335,0.3487282268694331,0.34876713413858484,0.3341141052805564,0.33618983766905325,0.34731528274493567,0.3475968322459596,0.3345846950149856
orthogonal,4,2,0.3657398333531741,0.38499064007103034,0.6356468093629821,0.3680899498365058,0.3678374227043761,0.3811297747197382,0.37339758460609984,0.3604049154938891,0.38007492017476097,0.37119363496099317,0.3745086082259868,0.3596277193953135
orthogonal,4,3,0.4283517891334065,0.44811479119179154,0.7326599182801333,0.42682889426736575,0.4268585798140251,0.4268270897717623,0.418766529588127,0.39664725098727344,0.44484778563815136,0.41991416768657147,0.41140577264439726,0.3975453801022201
orthogonal,4,4,0.46054865309795245,0.48019946400957625,0.7263036989389846,0.47584589507357505,0.4758592798184475,0.46999450116757513,0.4749433485729577,0.4054091645977681,0.42686329780837545,0.42603742819616597,0.42007510666307724,0.40605641131352693
non_lin_ind,1,1,0.04108686136100539,0.04108688500549727,0.1351702008135685,0.04109522063286086,0.041154220904430536,0.041086861481450854,0.04108817679128035,0.04108686160062161,0.04108686197845053,0.04241033646931882,0.048735441594812814,0.04108738779699607
non_lin_ind,1,2,0.051143762720095076,0.05114379436971893,0.22363275535156085,0.05114435154158996,0.05121083834942314,0.0511437628087131,0.05114603875979765,0.05114376280217538,0.05114376280843499,0.052481869938597936,0.058979597707670396,0.0511437646391237
non_lin_ind,1,3,0.034634006005111746,0.03463401592579564,0.11228873717185986,0.03463458212553287,0.03469650570821095,0.034634006169440415,0.034635467980651896,0.03463400606920013,0.03463404918988539,0.03607072225454845,0.04365788295907044,0.034634007750027236
non_lin_ind,1,4,0.04522566202770258,0.04522568064518172,0.2027615526845626,0.04522604889519179,0.04528996746373413,0.04522566094910443,0.04523469367947719,0.0452256609317645,0.045225666611271365,0.046623898649353054,0.05338251912417341,0.04522566276038383
non_lin_ind,2,1,0.15153717385048626,0.15153739214529338,0.3674922509357319,0.15345034251089462,0.14993022093938943,0.15153717401222347,0.1534172800158634,0.14950996305900574,0.14967017956478423,0.15574850674318058,0.1651431667404426,0.14974420798659188
non_lin_ind,2,2,0.17814216783041367,0.17052062472090498,0.3981065199977091,0.18385200666513896,0.18354900276721445,0.18348647734918494,0.18355449479852096,0.1705145499915229,0.18351845247413393,0.17868650266680972,0.18625227088295826,0.17029970019795307
non_lin_ind,2,3,0.15336760367072033,0.15777345335988113,0.3703583141281914,0.1664961310560805,0.1580136397987614,0.15777315615810622,0.16332724228441992,0.1532882615589786,0.16266880751155827,0.15994719573332203,0.17237409361832043,0.15329335091929489
non_lin_ind,2,4,0.15934822792657224,0.15672879326475692,0.42283989965973945,0.16120926778562295,0.15677526822479812,0.15934822831789205,0.15945288524706333,0.15674847520675325,0.16223876395677547,0.16386381644565548,0.17414566048141042,0.15674840172286603
non_lin_ind,3,1,0.25902244696827376,0.25902282507727475,0.5063369508926161,0.26689936446994,0.2590684009906889,0.259022447188405,0.2608451016747116,0.2590233142143041,0.26267042519032824,0.26344703157402305,0.27483036152491314,0.25902532731239
non_lin_ind,4,1,0.343878425611987,0.3453554923369719,0.5788849466368476,0.3381351193570246,0.3381068853468794,0.3276177979511976,0.34267868952551284,0.3261413926343192,0.34801334383457727,0.33358449238155263,0.3416320764712707,0.32632905044348715
non_lin_ind,4,2,0.37251079077115634,0.36348280124130117,0.7253333572468015,0.3650185421260779,0.36505446346357273,0.36501777580736017,0.3763594086759179,0.361225103794988,0.38791246276112873,0.3718499711536818,0.37493321067831015,0.3635685660257594
